Instance,,,DynCA,,,,DynCA-short,,,,ScalableCA+,,,,HSCA+,,,,ScalableCA,,,,HSCA,
,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time
edb7xxx.cnf,,440,464.2,3518.4,,470,496.1,1763.2,,504,519.1,3545.9,,671,700.5,2361.4,,502,536.7,3570.4,,671,700.1,2384.2
edosk2674.cnf,,438,450.8,3473.1,,462,479.8,1757.7,,476,499.0,3468.9,,653,672.9,2179.3,,493,510.1,3487.6,,653,675.0,2102.0
excalibur_arm9.cnf,,574,612.1,3472.2,,608,644.6,1758.2,,653,669.2,3530.9,,845,864.1,2609.1,,655,673.2,3533.7,,845,864.4,2711.8
fads.cnf,,391,411.1,3460.1,,417,435.0,1748.6,,441,453.1,3505.8,,585,600.9,2442.0,,440,456.8,3532.8,,585,601.7,2454.1
flexanet.cnf,,479,490.1,3460.0,,511,537.1,1778.7,,527,555.2,3562.1,,728,743.1,2589.6,,550,560.6,3565.0,,728,743.5,2649.0
freebsd-icse11.cnf,,509,532.5,3468.5,,552,585.0,1729.0,,539,572.2,3379.0,,628,639.4,3356.1,,545,569.8,3487.7,,628,641.0,3367.8
frv400.cnf,,451,464.4,3416.6,,478,494.6,1758.6,,492,519.7,3536.3,,669,688.0,2497.5,,499,518.9,3553.4,,669,689.5,2502.6
gps4020.cnf,,413,419.8,3459.2,,426,439.4,1756.2,,455,475.5,3489.8,,633,645.2,2246.9,,465,480.1,3553.5,,633,644.6,2237.5
grg.cnf,,448,461.9,3414.0,,464,492.3,1775.3,,493,514.8,3471.4,,666,679.2,2251.8,,503,522.0,3564.4,,666,678.9,2292.6
h8300h_sim.cnf,,403,411.8,3446.3,,414,429.9,1738.6,,440,453.7,3518.6,,596,603.9,2070.4,,448,461.3,3566.0,,596,603.7,2134.7
h8max.cnf,,447,460.2,3468.5,,467,486.8,1725.4,,496,513.4,3420.3,,669,691.0,2324.7,,499,515.4,3517.2,,679,692.7,2275.3
h8s_sim.cnf,,396,410.2,3487.8,,409,430.3,1746.2,,439,452.7,3467.0,,578,599.7,2363.1,,435,454.3,3466.4,,578,601.0,2304.1
hs7729pci.cnf,,697,719.7,3482.9,,730,762.3,1781.2,,781,800.9,3512.0,,1019,1032.6,2693.2,,768,814.5,3582.2,,1019,1035.2,2723.1
innovator.cnf,,691,706.4,3514.6,,722,749.1,1749.1,,752,782.3,3479.5,,956,989.4,2670.3,,739,801.9,3555.0,,956,988.5,2745.9
integrator_arm7.cnf,,460,469.4,3440.0,,486,495.7,1761.0,,512,528.9,3536.3,,674,701.7,2765.9,,509,537.2,3544.5,,674,700.1,2760.6
integrator_arm9.cnf,,624,659.3,3480.1,,659,694.3,1733.8,,680,704.1,3504.7,,863,877.7,2722.1,,666,703.1,3523.4,,871,881.2,2632.3
iq80310.cnf,,447,457.9,3493.8,,469,485.4,1743.3,,499,518.0,3495.1,,677,688.4,2408.7,,505,524.0,3505.5,,665,685.3,2458.5
iq80321.cnf,,449,461.0,3498.6,,469,494.0,1765.4,,495,514.9,3517.9,,670,687.3,2432.4,,506,524.2,3573.7,,670,686.4,2478.8
ixdp425.cnf,,446,457.7,3436.7,,472,488.4,1741.9,,502,513.8,3476.6,,676,684.9,2317.9,,498,515.2,3505.0,,674,682.6,2438.1
jtst.cnf,,419,435.8,3463.5,,444,461.6,1776.4,,472,492.7,3520.9,,647,656.4,2232.8,,481,493.1,3509.7,,647,656.1,2199.9
linux.cnf,,495,515.6,3491.3,,514,543.8,1745.5,,551,571.2,3516.8,,761,778.6,2383.6,,561,579.3,3570.8,,761,779.0,2358.7
lpcmt.cnf,,404,428.3,3467.3,,432,457.8,1766.1,,458,482.6,3516.9,,635,646.0,2442.3,,455,484.2,3530.5,,634,644.4,2548.4
m5272c3.cnf,,486,507.3,3488.5,,513,543.8,1772.2,,545,576.2,3569.5,,729,747.9,2896.7,,552,579.1,3583.8,,729,749.0,2844.4
mac7100evb.cnf,,404,420.0,3492.3,,425,447.2,1778.6,,457,475.6,3487.9,,609,622.6,2390.8,,460,476.0,3532.8,,609,623.9,2408.9
malta_mips32_4kc.cnf,,453,476.2,3482.4,,487,504.0,1752.6,,521,537.1,3540.5,,689,704.6,2479.2,,518,535.6,3532.8,,693,706.1,2523.6
malta_mips64_5kc.cnf,,467,478.6,3478.9,,478,512.8,1752.1,,512,528.0,3501.3,,689,700.3,2628.9,,527,540.4,3542.4,,689,700.8,2694.5
mb93091.cnf,,446,455.7,3435.2,,467,491.9,1751.9,,501,514.4,3508.1,,676,687.6,2254.6,,499,522.2,3563.2,,676,688.5,2262.8
mb93093.cnf,,447,459.9,3479.8,,463,485.1,1754.4,,500,514.3,3529.4,,671,685.7,2208.7,,497,513.8,3548.7,,671,684.4,2230.6
mbx.cnf,,447,465.0,3452.9,,485,505.9,1775.2,,502,515.1,3533.3,,665,683.9,2897.2,,514,526.0,3502.0,,665,685.1,2837.8
mcb2100.cnf,,417,429.5,3444.6,,434,455.9,1774.1,,464,481.0,3523.5,,634,644.9,2722.6,,461,486.2,3546.7,,634,645.4,2632.5
moab.cnf,,474,483.9,3493.5,,500,518.2,1762.1,,532,560.7,3500.3,,729,748.7,2667.9,,548,568.1,3571.2,,729,748.4,2746.2
mpc50.cnf,,397,416.5,3353.8,,413,436.4,1768.4,,453,467.9,3480.7,,596,610.3,2354.3,,443,461.3,3538.0,,601,611.2,2386.8
nano.cnf,,490,507.8,3445.1,,521,538.9,1778.1,,558,588.8,3560.1,,756,779.2,2598.4,,566,588.5,3581.2,,756,777.9,2592.3
npwr.cnf,,443,453.5,3468.5,,465,483.9,1775.2,,504,517.8,3478.7,,678,686.4,2352.9,,495,514.0,3534.6,,678,686.5,2341.5
ocelot.cnf,,454,462.1,3449.8,,477,492.4,1754.5,,516,529.2,3511.8,,657,690.0,2723.7,,520,536.4,3546.3,,657,691.9,2710.5
olpch2294.cnf,,420,430.2,3425.3,,435,455.0,1761.6,,474,484.5,3493.6,,638,653.2,2577.4,,479,493.7,3562.6,,636,651.4,2602.7
olpcl2294.cnf,,457,476.2,3435.1,,483,508.4,1771.5,,508,535.9,3546.2,,720,728.5,2356.5,,516,545.2,3546.5,,719,727.2,2398.1
p2106.cnf,,412,424.9,3439.2,,438,449.1,1762.0,,444,475.1,3465.6,,632,644.4,2677.3,,465,487.2,3547.6,,632,644.3,2690.8
pc_i82544.cnf,,456,480.0,3477.6,,486,514.6,1778.9,,516,535.9,3480.8,,719,734.0,2426.1,,527,543.8,3531.5,,719,733.2,2443.6
pc_i82559.cnf,,462,478.8,3496.9,,486,510.1,1746.7,,517,539.8,3545.4,,709,735.6,2760.7,,538,556.8,3538.2,,709,737.2,2729.2
pc_rltk8139.cnf,,501,512.3,3488.9,,527,549.2,1745.3,,556,579.3,3541.2,,766,786.9,2550.2,,569,585.0,3549.7,,766,788.2,2530.1
pc_usb_d12.cnf,,422,436.9,3381.5,,446,467.8,1748.2,,481,501.1,3563.9,,656,672.2,2473.3,,484,513.8,3550.3,,656,673.0,2497.7
pc_vmWare.cnf,,445,464.9,3456.6,,467,491.3,1743.0,,506,522.8,3525.4,,694,710.4,2450.9,,498,534.1,3570.0,,694,711.1,2453.4
phycore.cnf,,423,434.3,3493.5,,444,462.0,1743.8,,471,487.8,3563.7,,633,655.8,2430.7,,471,491.0,3528.9,,633,656.4,2476.4
